specific_reason,specific_reason_name,operational_definition,second_level,second_level_name,first_level,first_level_name
A1a,General concerns about vaccine side effects or adverse events,"General concerns about possible side effects or adverse events after influenza vaccination, without reference to a specific personal experience, product component, or institutional event.",A1,Safety concerns,A,Vaccine- and vaccination-related factors
A1b,"Concerns about vaccine quality, ingredients, or manufacturing processes","Hesitancy based on doubts about vaccine product quality, ingredients, excipients, adjuvants, manufacturing processes, batch quality, or other material features of the vaccine.",A1,Safety concerns,A,Vaccine- and vaccination-related factors
A1c,"Previous adverse experiences following vaccination among oneself, family members, or friends","Hesitancy based on specific adverse experiences after vaccination reported by the author, family members, friends, or close contacts.",A1,Safety concerns,A,Vaccine- and vaccination-related factors
A1d,Concerns about unknown risks of vaccination,"Concerns about long-term, delayed, uncertain, or insufficiently understood risks of influenza vaccination, especially when the text emphasizes uncertainty or lack of evidence.",A1,Safety concerns,A,Vaccine- and vaccination-related factors
A2a,General concerns about overall vaccine effectiveness,"General doubts about whether influenza vaccination is effective, useful, or worthwhile, including statements that vaccination does not prevent influenza or has limited protective value.",A2,Effectiveness concerns,A,Vaccine- and vaccination-related factors
A2b,Concerns about insufficient duration of protection,Concerns that vaccine-induced protection lasts for too short a period or may not cover the full influenza season.,A2,Effectiveness concerns,A,Vaccine- and vaccination-related factors
A2c,Concerns about vaccine strain coverage or match,"Concerns that the vaccine may not match circulating influenza strains, may not cover current variants, or may be ineffective because of viral mutation or strain mismatch.",A2,Effectiveness concerns,A,Vaccine- and vaccination-related factors
A2d,Concerns about delayed onset of protection or lack of immediate protection,Concerns that protection takes time to develop after vaccination and therefore may not help when exposure risk is imminent or the influenza season has already begun.,A2,Effectiveness concerns,A,Vaccine- and vaccination-related factors
A2e,Concerns about individual variation or inconsistent protection,Concerns that vaccine protection may vary across individuals and may not work for the author or the target person despite population-level effectiveness.,A2,Effectiveness concerns,A,Vaccine- and vaccination-related factors
A3a,Allergic predisposition or allergy to vaccine components,"Concerns that vaccination may be inappropriate because of allergic constitution, known allergies, or possible allergy to vaccine components.",A3,Medical suitability,A,Vaccine- and vaccination-related factors
A3b,"Restrictions related to pregnancy, breastfeeding, or preconception","Concerns about vaccination suitability during pregnancy, breastfeeding, or pregnancy preparation.",A3,Medical suitability,A,Vaccine- and vaccination-related factors
A3c,Restrictions related to underlying diseases or immune-related conditions,"Concerns that vaccination may be unsuitable because of chronic diseases, underlying conditions, immune-related disorders, medication use, or other medical vulnerabilities.",A3,Medical suitability,A,Vaccine- and vaccination-related factors
A3d,Current health status perceived as temporarily unsuitable for vaccination,"Temporary delay or hesitation because the author or target person is currently unwell, such as having fever, cold symptoms, recent infection, postoperative recovery, or other short-term health conditions.",A3,Medical suitability,A,Vaccine- and vaccination-related factors
A3e,Age-related ineligibility or contraindications,"Concerns about whether the target person is too young, too old, or otherwise age-ineligible for influenza vaccination.",A3,Medical suitability,A,Vaccine- and vaccination-related factors
B1a,General denial of the need for vaccination,"General belief that influenza vaccination is unnecessary, without necessarily providing a detailed risk assessment.",B1,Complacency / low perceived need,B,Individual and social factors
B1b,Low perceived risk of influenza infection,"Belief that the author or target person is unlikely to contract influenza because of good health, limited exposure, previous experience, optimism, or perceived low susceptibility.",B1,Complacency / low perceived need,B,Individual and social factors
B1c,Low perceived severity of influenza,"Belief that influenza is not serious, can be endured, or does not warrant vaccination.",B1,Complacency / low perceived need,B,Individual and social factors
B2a,Substitution with physical protective measures,"Belief that masks, hand hygiene, distancing, ventilation, or other physical protective measures are sufficient and can replace vaccination.",B2,Alternative prevention strategies,B,Individual and social factors
B2b,Substitution with diet or exercise to boost immunity,"Belief that diet, nutrition, supplements, exercise, sleep, or general immunity improvement can prevent influenza without vaccination.",B2,Alternative prevention strategies,B,Individual and social factors
B2c,Substitution with traditional Chinese medicine approaches,"Preference for traditional Chinese medicine, herbal medicine, moxibustion, dietary therapy, or related traditional approaches as alternatives to influenza vaccination.",B2,Alternative prevention strategies,B,Individual and social factors
B2d,Substitution with antiviral drugs for prevention or treatment,"Preference for antiviral drugs or medication-based prevention/treatment, such as oseltamivir, instead of vaccination.",B2,Alternative prevention strategies,B,Individual and social factors
B3a,Negative influence from family members or friends,"Hesitancy influenced by negative attitudes, advice, or adverse experience sharing from family members, friends, colleagues, or other non-professional contacts.",B3,Social and interpersonal influences,B,Individual and social factors
B3b,Negative advice from personally contacted healthcare workers,"Hesitancy caused by advice from personally consulted doctors, nurses, vaccinators, or other healthcare workers suggesting delay, avoidance, or non-vaccination.",B3,Social and interpersonal influences,B,Individual and social factors
B4a,"Fear of needles, fainting during injections, or avoidance of injection pain","Avoidance of vaccination because of needle fear, injection pain, needle fainting, or other injection-related psychological or physiological reactions.",B4,Psychological barriers,B,Individual and social factors
B4b,Non-vaccine-related psychological trauma or adverse prior experiences,"Avoidance of vaccination due to traumatic or negative medical experiences unrelated to influenza vaccines, including fear of healthcare settings or medical procedures.",B4,Psychological barriers,B,Individual and social factors
B5a,Reactance toward mandates or organized mobilization,"Resistance to vaccination because it is perceived as compulsory, organized, pressured, or promoted through workplace, school, community, or policy mobilization.",B5,Autonomy and reactance,B,Individual and social factors
B5b,Subjective unwillingness without a specific reason,"Explicit unwillingness to receive influenza vaccination without any identifiable specific concern, barrier, or reason.",B5,Autonomy and reactance,B,Individual and social factors
B6a,Insufficient self-relevant information about the need for vaccination,"Lack of sufficient information to judge whether the author or target person needs, benefits from, or is suitable for influenza vaccination.",B6,Information and awareness gaps,B,Individual and social factors
B7a,Procrastination or forgetting to act on vaccination intention,"Failure to translate vaccination intention into action because of forgetting, procrastination, repeated postponement, or failure to arrange vaccination in time.",B7,Intention–behavior gap,B,Individual and social factors
C1a,Insufficient physical accessibility of vaccination sites,"Barriers caused by distant vaccination sites, lack of nearby services, inconvenient transportation, or poor geographic accessibility.",C1,Physical and temporal access,C,Contextual factors
C1b,Difficulty making appointments or long on-site waiting times,"Barriers caused by difficulty securing appointments, complicated booking procedures, long queues, or excessive waiting time at vaccination sites.",C1,Physical and temporal access,C,Contextual factors
C1c,Vaccine supply shortages or unstable availability,"Inability or delay in vaccination due to insufficient supply, stockouts, unstable availability, or uncertainty about vaccine arrival.",C1,Physical and temporal access,C,Contextual factors
C1d,Time conflicts or lack of time to get vaccinated,"Barriers caused by work, study, caregiving, travel, service-hour mismatch, or other time conflicts that prevent vaccination.",C1,Physical and temporal access,C,Contextual factors
C2a,High cost per vaccination,Hesitancy caused by the perceived high cost of a single influenza vaccination.,C2,Affordability,C,Contextual factors
C2b,Cumulative financial burden of annual repeat vaccination,"Hesitancy caused by the cumulative cost of repeated annual influenza vaccination, especially for families or multiple household members.",C2,Affordability,C,Contextual factors
C3a,Mistrust of vaccine manufacturers or commercial motives,"Distrust of vaccine manufacturers, pharmaceutical companies, commercial promotion, or perceived profit-driven motives behind influenza vaccination.",C3,Institutional and system mistrust,C,Contextual factors
C3b,Mistrust of regulatory authorities or approval systems,"Distrust of vaccine approval, regulation, quality supervision, or governmental capacity to ensure vaccine safety and effectiveness.",C3,Institutional and system mistrust,C,Contextual factors
C3c,Generalized mistrust of healthcare workers or vaccination providers,"Distrust directed at doctors, nurses, vaccination clinics, healthcare institutions, or vaccination providers as a group.",C3,Institutional and system mistrust,C,Contextual factors
C3d,"Negative associations with, or mistrust of, free vaccines","Distrust triggered by vaccines being free of charge, including the belief that free vaccines may be lower quality, unsafe, or less trustworthy.",C3,Institutional and system mistrust,C,Contextual factors
C3e,Mistrust of compensation or redress mechanisms for adverse events,"Concerns that adverse events after vaccination would not be properly acknowledged, compensated, followed up, or resolved.",C3,Institutional and system mistrust,C,Contextual factors
